year,RMSE,MAE,R2,Pearson_r
2022,1.0870327811856142,0.8483663201332092,0.25446730852127075,0.6274578
2023,1.167033864318559,0.8277320265769958,0.4264727234840393,0.71938324
2024,0.8421392607453223,0.5638728141784668,0.6982325315475464,0.85444427
