year,RMSE,MAE,R2
2023,1.2245052495035433,1.0005437002706492,0.3685943897061428
2024,1.2669689705486633,1.081990994343014,0.31697501749589174

2026,1.4517353375010014,1.1245467128463762,0.3990530010140023
