year,RMSE,MAE,R2
2022,1.0780778404646916,0.8405967950820923,0.2667000889778137
2023,0.9944601088952998,0.7409768104553223,0.5835509300231934
2024,0.8481616082720574,0.5745644569396973,0.6939010620117188
2026,0.6416657994830064,0.37856653332710266,0.882597029209137, X0+X1+X2
2026,0.6592002582872449,0.42027178406715393,0.8760929703712463, X0
2026,0.6255785886563341,0.3903562128543854,0.8884100914001465, X0+X1
2026,0.6376825071395672,0.38192683458328247,0.8840501308441162, X0+X2
2026,0.6354555576700649,0.37354159355163574,0.8848585486412048

2026,0.6221939514990587,0.3754962980747223,0.8896142840385437
2026,0.6400385707915032,0.39331889152526855,0.8831917643547058
2026,0.6192396066769076,0.3722454905509949,0.8906601071357727
2026,0.6421533821491536,0.38067325949668884,0.8824185132980347

2026,0.6340963738325001,0.40789341926574707,0.8853505849838257, 30+[512, 256, 64]
2026,0.6465053958298865,0.4019545614719391,0.8808193802833557
2026,0.6426605357280635,0.4025046229362488,0.8822327256202698
2026,0.6622556451691527,0.42662495374679565,0.8749417066574097

2026,0.6509677743304236,0.43546128273010254,0.8791684508323669
2026,0.6677550258368788,0.44313478469848633,0.872856080532074
2026,0.6538628120533487,0.4357578754425049,0.8780913352966309
2026,0.6666905403829604,0.4360831677913666,0.8732610940933228

2026,0.6427638472493931,0.4202626645565033,0.8821948766708374
2026,0.646037935846704,0.4054964482784271,0.8809916973114014



20 + [256, 128]
2026,0.696168180140606,0.48886871337890625,0.8618058562278748, X0+X1
2026,0.6971838980683863,0.47922447323799133,0.8614023327827454, X0+X2
2026,0.6835928780686403,0.4732172191143036,0.866753339767456, X0+X1+X2
2026,0.7226732819070834,0.498063325881958,0.8510826826095581, X0
