Test Virus,Reference Virus,Titre
A/Denmark/3264/2019,A/Denmark/3264/2019,320
A/Hong Kong/2671/2019,A/Denmark/3264/2019,320
A/Cambodia/925256/2020,A/Denmark/3264/2019,160
A/Cambodia/e0826360/2020,A/Denmark/3264/2019,80
A/Bangladesh/4005/2020,A/Denmark/3264/2019,160
A/Thuringen/10/2022,A/Denmark/3264/2019,80
A/Stockholm/5/2021,A/Denmark/3264/2019,80
A/Darwin/9/2021,A/Denmark/3264/2019,160
A/England/214191723/2021,A/Denmark/3264/2019,80
A/Kansas/14/2017,A/Denmark/3264/2019,40
A/Belgium/G0096/2022,A/Denmark/3264/2019,40
A/Belgium/S0822/2022,A/Denmark/3264/2019,40
A/Belgium/S0826/2022,A/Denmark/3264/2019,80
A/Belgium/G0153/2022,A/Denmark/3264/2019,40
A/Poland/52/2022,A/Denmark/3264/2019,80
A/Poland/58/2022,A/Denmark/3264/2019,80
A/Poland/65/2022,A/Denmark/3264/2019,80
A/Argentina/2745/2022,A/Denmark/3264/2019,<40
A/Togo/1112/2022,A/Denmark/3264/2019,80
A/Argentina/2784/2022,A/Denmark/3264/2019,80
A/Argentina/2863/2022,A/Denmark/3264/2019,40
A/Argentina/2822/2022,A/Denmark/3264/2019,40
A/Ghana/341/2022,A/Denmark/3264/2019,160
A/Ghana/3122/2022,A/Denmark/3264/2019,80
A/Ghana/330/2022,A/Denmark/3264/2019,80
A/Argentina/2894/2022,A/Denmark/3264/2019,40
A/Ghana/3353/2022,A/Denmark/3264/2019,80
A/Argentina/2959/2022,A/Denmark/3264/2019,40
A/Ghana/365/2022,A/Denmark/3264/2019,160
A/Argentina/2953/2022,A/Denmark/3264/2019,40
A/Ghana/390/2022,A/Denmark/3264/2019,160
A/Argentina/3023/2022,A/Denmark/3264/2019,40
A/Argentina/2973/2022,A/Denmark/3264/2019,80
A/Norway/27853/2022,A/Denmark/3264/2019,80
A/Norway/28394/2022,A/Denmark/3264/2019,80
A/Norway/28359/2022,A/Denmark/3264/2019,80
A/Norway/29040/2022,A/Denmark/3264/2019,80
A/Denmark/3264/2019,A/Hong Kong/2671/2019,320
A/Hong Kong/2671/2019,A/Hong Kong/2671/2019,320
A/Cambodia/925256/2020,A/Hong Kong/2671/2019,160
A/Cambodia/e0826360/2020,A/Hong Kong/2671/2019,<40
A/Bangladesh/4005/2020,A/Hong Kong/2671/2019,40
A/Thuringen/10/2022,A/Hong Kong/2671/2019,<40
A/Stockholm/5/2021,A/Hong Kong/2671/2019,<40
A/Darwin/9/2021,A/Hong Kong/2671/2019,<40
A/England/214191723/2021,A/Hong Kong/2671/2019,<40
A/Kansas/14/2017,A/Hong Kong/2671/2019,40
A/Belgium/G0096/2022,A/Hong Kong/2671/2019,<40
A/Belgium/S0822/2022,A/Hong Kong/2671/2019,<40
A/Belgium/S0826/2022,A/Hong Kong/2671/2019,<40
