Test Virus,Reference Virus,Titre
A/Stockholm/6/2014,A/Stockholm/6/2014,640
A/Switzerland/9715293/2013,A/Stockholm/6/2014,640
A/Hong Kong/5738/2014,A/Stockholm/6/2014,160
A/Hong Kong/4801/2014,A/Stockholm/6/2014,320
A/Hong Kong/4801/2014,A/Stockholm/6/2014,80
A/Hong Kong/2991/2017,A/Stockholm/6/2014,320
A/Hong Kong/3857/2017,A/Stockholm/6/2014,160
A/Hong Kong/4085/2017,A/Stockholm/6/2014,320
A/Hong Kong/4181/2017,A/Stockholm/6/2014,160
A/Stockholm/6/2014,A/Switzerland/9715293/2013,160
A/Switzerland/9715293/2013,A/Switzerland/9715293/2013,160
A/Hong Kong/5738/2014,A/Switzerland/9715293/2013,80
A/Hong Kong/4801/2014,A/Switzerland/9715293/2013,80
A/Hong Kong/4801/2014,A/Switzerland/9715293/2013,80
A/Hong Kong/2991/2017,A/Switzerland/9715293/2013,80
A/Hong Kong/3857/2017,A/Switzerland/9715293/2013,40
A/Hong Kong/4085/2017,A/Switzerland/9715293/2013,80
A/Hong Kong/4181/2017,A/Switzerland/9715293/2013,40
A/Stockholm/6/2014,A/Hong Kong/5738/2014,160
A/Switzerland/9715293/2013,A/Hong Kong/5738/2014,160
A/Hong Kong/5738/2014,A/Hong Kong/5738/2014,160
A/Hong Kong/4801/2014,A/Hong Kong/5738/2014,160
A/Hong Kong/4801/2014,A/Hong Kong/5738/2014,320
A/Hong Kong/2991/2017,A/Hong Kong/5738/2014,160
A/Hong Kong/3857/2017,A/Hong Kong/5738/2014,80
A/Hong Kong/4085/2017,A/Hong Kong/5738/2014,320
A/Hong Kong/4181/2017,A/Hong Kong/5738/2014,40
A/Stockholm/6/2014,A/Hong Kong/4801/2014,320
A/Switzerland/9715293/2013,A/Hong Kong/4801/2014,160
A/Hong Kong/5738/2014,A/Hong Kong/4801/2014,320
A/Hong Kong/4801/2014,A/Hong Kong/4801/2014,640
A/Hong Kong/4801/2014,A/Hong Kong/4801/2014,640
A/Hong Kong/2991/2017,A/Hong Kong/4801/2014,160
A/Hong Kong/3857/2017,A/Hong Kong/4801/2014,160
A/Hong Kong/4085/2017,A/Hong Kong/4801/2014,320
A/Hong Kong/4181/2017,A/Hong Kong/4801/2014,160
A/Stockholm/6/2014,A/Hong Kong/4801/2014,80
A/Switzerland/9715293/2013,A/Hong Kong/4801/2014,80
A/Hong Kong/5738/2014,A/Hong Kong/4801/2014,160
A/Hong Kong/4801/2014,A/Hong Kong/4801/2014,160
A/Hong Kong/4801/2014,A/Hong Kong/4801/2014,160
A/Hong Kong/2991/2017,A/Hong Kong/4801/2014,80
A/Hong Kong/3857/2017,A/Hong Kong/4801/2014,80
A/Hong Kong/4085/2017,A/Hong Kong/4801/2014,160
A/Hong Kong/4181/2017,A/Hong Kong/4801/2014,80
A/Stockholm/6/2014,A/Oman/2585/2016,320
A/Switzerland/9715293/2013,A/Oman/2585/2016,160
A/Hong Kong/5738/2014,A/Oman/2585/2016,320
A/Hong Kong/4801/2014,A/Oman/2585/2016,320
A/Hong Kong/4801/2014,A/Oman/2585/2016,320
A/Hong Kong/2991/2017,A/Oman/2585/2016,160
A/Hong Kong/3857/2017,A/Oman/2585/2016,80
A/Hong Kong/4085/2017,A/Oman/2585/2016,320
A/Hong Kong/4181/2017,A/Oman/2585/2016,80
A/Stockholm/6/2014,A/Norway/4436/2016,320
A/Switzerland/9715293/2013,A/Norway/4436/2016,320
A/Hong Kong/5738/2014,A/Norway/4436/2016,320
A/Hong Kong/4801/2014,A/Norway/4436/2016,320
A/Hong Kong/4801/2014,A/Norway/4436/2016,160
A/Hong Kong/2991/2017,A/Norway/4436/2016,320
A/Hong Kong/3857/2017,A/Norway/4436/2016,80
A/Hong Kong/4085/2017,A/Norway/4436/2016,320
A/Hong Kong/4181/2017,A/Norway/4436/2016,160
A/Stockholm/6/2014,A/Greece/4/2017,160
A/Switzerland/9715293/2013,A/Greece/4/2017,160
A/Hong Kong/5738/2014,A/Greece/4/2017,160
A/Hong Kong/4801/2014,A/Greece/4/2017,320
A/Hong Kong/4801/2014,A/Greece/4/2017,320
A/Hong Kong/2991/2017,A/Greece/4/2017,320
A/Hong Kong/3857/2017,A/Greece/4/2017,160
A/Hong Kong/4085/2017,A/Greece/4/2017,320
A/Hong Kong/4181/2017,A/Greece/4/2017,160
A/Stockholm/6/2014,A/Stockholm/6/2014,320
