Test Virus,Reference Virus,Titre
A/Perth/16/2009,A/Perth/16/2009,1280
A/Victoria/208/2009,A/Perth/16/2009,1280
A/Alabama/5/2010,A/Perth/16/2009,40
A/Hong Kong/3969/2011,A/Perth/16/2009,160
A/Stockholm/18/2011,A/Perth/16/2009,80
A/Iowa/19/2010,A/Perth/16/2009,640
A/Finland/190/2011,A/Perth/16/2009,160
A/Norway/1789/2011,A/Perth/16/2009,160
A/Victoria/361/2011,A/Perth/16/2009,320
A/Ioannina/GR148/2012,A/Perth/16/2009,80
A/Athens/GR112/2012,A/Perth/16/2009,80
A/Athens/GR125/2012,A/Perth/16/2009,40
A/Astrakhan/65/2012,A/Perth/16/2009,<40
A/Shkoder/ALB-4101/2012,A/Perth/16/2009,80
A/Athens/GR131/2012,A/Perth/16/2009,80
A/Athens/GR134/2012,A/Perth/16/2009,80
A/Athens/GR165/2012,A/Perth/16/2009,80
A/Athens/GR166/2012,A/Perth/16/2009,80
A/Athens/GR208/2012,A/Perth/16/2009,80
A/Athens/GR173/2012,A/Perth/16/2009,80
A/Athens/GR237/2012,A/Perth/16/2009,160
A/Athens/GR193/2012,A/Perth/16/2009,40
A/Athens/GR209/2012,A/Perth/16/2009,80
A/Athens/GR248/2012,A/Perth/16/2009,80
A/Perth/16/2009,A/Victoria/208/2009,80
A/Victoria/208/2009,A/Victoria/208/2009,5120
A/Alabama/5/2010,A/Victoria/208/2009,40
A/Hong Kong/3969/2011,A/Victoria/208/2009,320
A/Stockholm/18/2011,A/Victoria/208/2009,160
A/Iowa/19/2010,A/Victoria/208/2009,5120
A/Finland/190/2011,A/Victoria/208/2009,320
A/Norway/1789/2011,A/Victoria/208/2009,320
A/Victoria/361/2011,A/Victoria/208/2009,640
A/Ioannina/GR148/2012,A/Victoria/208/2009,160
A/Athens/GR112/2012,A/Victoria/208/2009,160
A/Athens/GR125/2012,A/Victoria/208/2009,80
A/Astrakhan/65/2012,A/Victoria/208/2009,40
A/Shkoder/ALB-4101/2012,A/Victoria/208/2009,160
A/Athens/GR131/2012,A/Victoria/208/2009,160
A/Athens/GR134/2012,A/Victoria/208/2009,160
A/Athens/GR165/2012,A/Victoria/208/2009,160
A/Athens/GR166/2012,A/Victoria/208/2009,160
A/Athens/GR208/2012,A/Victoria/208/2009,160
A/Athens/GR173/2012,A/Victoria/208/2009,160
A/Athens/GR237/2012,A/Victoria/208/2009,320
A/Athens/GR193/2012,A/Victoria/208/2009,40
A/Athens/GR209/2012,A/Victoria/208/2009,80
A/Athens/GR248/2012,A/Victoria/208/2009,80
A/Perth/16/2009,A/Alabama/5/2010,160
A/Victoria/208/2009,A/Alabama/5/2010,1280
A/Alabama/5/2010,A/Alabama/5/2010,160
A/Hong Kong/3969/2011,A/Alabama/5/2010,320
A/Stockholm/18/2011,A/Alabama/5/2010,160
A/Iowa/19/2010,A/Alabama/5/2010,1280
A/Finland/190/2011,A/Alabama/5/2010,320
A/Norway/1789/2011,A/Alabama/5/2010,320
A/Victoria/361/2011,A/Alabama/5/2010,640
A/Ioannina/GR148/2012,A/Alabama/5/2010,160
A/Athens/GR112/2012,A/Alabama/5/2010,80
