Test Virus,Reference Virus,Titre
A/Perth/16/2009,A/Perth/16/2009,640
A/Victoria/361/2011,A/Perth/16/2009,160
A/Texas/50/2012,A/Perth/16/2009,640
A/Samara/73/2013,A/Perth/16/2009,640
A/Hong Kong/146/2013,A/Perth/16/2009,640
A/South Africa/4655/2013,A/Perth/16/2009,80
A/Stockholm/6/2014,A/Perth/16/2009,<40
A/Stockholm/6/2014,A/Perth/16/2009,80
A/Norway/466/2014,A/Perth/16/2009,<40
A/Switzerland/9715293/2013,A/Perth/16/2009,<40
A/Switzerland/9715293/2013,A/Perth/16/2009,40
A/Egypt/GAB3932/2014,A/Perth/16/2009,80
A/Egypt/GAB3911/2014,A/Perth/16/2009,80
A/Egypt/GAB4019/2014,A/Perth/16/2009,40
A/Egypt/IMB3452/2014,A/Perth/16/2009,320
A/Egypt/Men4372/2014,A/Perth/16/2009,160
A/Tasmania/11/2014,A/Perth/16/2009,<40
A/Jiangxi-Donghu/11101/2014,A/Perth/16/2009,<40
A/Sichuan-Yanjiang/1239/2014,A/Perth/16/2009,<40
A/Oman/3676/2014,A/Perth/16/2009,<40
A/Guangdong-Haizhu/1510/2014,A/Perth/16/2009,<40
A/Sichuan-Jiangyang/1686/2014,A/Perth/16/2009,<40
A/Oman/4289/2014,A/Perth/16/2009,<40
A/Slovenia/1944/2014,A/Perth/16/2009,<40
A/Perth/16/2009,A/Victoria/361/2011,160
A/Victoria/361/2011,A/Victoria/361/2011,320
A/Texas/50/2012,A/Victoria/361/2011,1280
A/Samara/73/2013,A/Victoria/361/2011,320
A/Hong Kong/146/2013,A/Victoria/361/2011,640
A/South Africa/4655/2013,A/Victoria/361/2011,80
A/Stockholm/6/2014,A/Victoria/361/2011,80
A/Stockholm/6/2014,A/Victoria/361/2011,320
A/Norway/466/2014,A/Victoria/361/2011,40
A/Switzerland/9715293/2013,A/Victoria/361/2011,40
A/Switzerland/9715293/2013,A/Victoria/361/2011,320
A/Egypt/GAB3932/2014,A/Victoria/361/2011,320
A/Egypt/GAB3911/2014,A/Victoria/361/2011,160
A/Egypt/GAB4019/2014,A/Victoria/361/2011,160
A/Egypt/IMB3452/2014,A/Victoria/361/2011,640
A/Egypt/Men4372/2014,A/Victoria/361/2011,320
A/Tasmania/11/2014,A/Victoria/361/2011,640
A/Jiangxi-Donghu/11101/2014,A/Victoria/361/2011,<40
A/Sichuan-Yanjiang/1239/2014,A/Victoria/361/2011,80
A/Oman/3676/2014,A/Victoria/361/2011,80
A/Guangdong-Haizhu/1510/2014,A/Victoria/361/2011,<40
A/Sichuan-Jiangyang/1686/2014,A/Victoria/361/2011,40
A/Oman/4289/2014,A/Victoria/361/2011,80
A/Slovenia/1944/2014,A/Victoria/361/2011,40
A/Perth/16/2009,A/Texas/50/2012,160
A/Victoria/361/2011,A/Texas/50/2012,160
A/Texas/50/2012,A/Texas/50/2012,1280
A/Samara/73/2013,A/Texas/50/2012,320
A/Hong Kong/146/2013,A/Texas/50/2012,640
A/South Africa/4655/2013,A/Texas/50/2012,160
A/Stockholm/6/2014,A/Texas/50/2012,80
A/Stockholm/6/2014,A/Texas/50/2012,160
A/Norway/466/2014,A/Texas/50/2012,40
A/Switzerland/9715293/2013,A/Texas/50/2012,<40
A/Switzerland/9715293/2013,A/Texas/50/2012,160
A/Egypt/GAB3932/2014,A/Texas/50/2012,320
A/Egypt/GAB3911/2014,A/Texas/50/2012,160
A/Egypt/GAB4019/2014,A/Texas/50/2012,160
A/Egypt/IMB3452/2014,A/Texas/50/2012,640
A/Egypt/Men4372/2014,A/Texas/50/2012,160
A/Tasmania/11/2014,A/Texas/50/2012,40
A/Jiangxi-Donghu/11101/2014,A/Texas/50/2012,40
