Test Virus,Reference Virus,Titre
A/Albania/289813/2022,A/Albania/289813/2022,2560
A/Massachusetts/18/2022,A/Albania/289813/2022,1280
A/Thailand/08/2022,A/Albania/289813/2022,1280
A/Sydney/856/2023,A/Albania/289813/2022,2560
A/Croatia/10136RV/2023,A/Albania/289813/2022,320
A/Croatia/10136RV/2023,A/Albania/289813/2022,1280
A/Netherlands/10563/2023,A/Albania/289813/2022,1280
A/Lisboa/216/2023,A/Albania/289813/2022,640
A/Slovenia/49/2024,A/Albania/289813/2022,160
A/Norway/12374/2023,A/Albania/289813/2022,320
A/BurkinaFaso/3131/2023,A/Albania/289813/2022,40
A/Ghana/1031/2024,A/Albania/289813/2022,1280
A/Ghana/1081/2024,A/Albania/289813/2022,640
A/Ghana/1293/2024,A/Albania/289813/2022,320
A/Ghana/5160/2024,A/Albania/289813/2022,640
A/Ghana/1406/2024,A/Albania/289813/2022,640
A/Ghana/5726/2024,A/Albania/289813/2022,320
A/Ghana/1488/2024,A/Albania/289813/2022,640
A/Albania/289813/2022,A/Massachusetts/18/2022,1280
A/Massachusetts/18/2022,A/Massachusetts/18/2022,640
A/Thailand/08/2022,A/Massachusetts/18/2022,320
A/Sydney/856/2023,A/Massachusetts/18/2022,640
A/Croatia/10136RV/2023,A/Massachusetts/18/2022,160
A/Croatia/10136RV/2023,A/Massachusetts/18/2022,320
A/Netherlands/10563/2023,A/Massachusetts/18/2022,320
A/Lisboa/216/2023,A/Massachusetts/18/2022,320
A/Slovenia/49/2024,A/Massachusetts/18/2022,160
A/Norway/12374/2023,A/Massachusetts/18/2022,160
A/BurkinaFaso/3131/2023,A/Massachusetts/18/2022,40
A/Ghana/1031/2024,A/Massachusetts/18/2022,640
A/Ghana/1081/2024,A/Massachusetts/18/2022,160
A/Ghana/1293/2024,A/Massachusetts/18/2022,160
A/Ghana/5160/2024,A/Massachusetts/18/2022,320
A/Ghana/1406/2024,A/Massachusetts/18/2022,320
A/Ghana/5726/2024,A/Massachusetts/18/2022,160
A/Ghana/1488/2024,A/Massachusetts/18/2022,160
A/Albania/289813/2022,A/Thailand/08/2022,2560
A/Massachusetts/18/2022,A/Thailand/08/2022,1280
A/Thailand/08/2022,A/Thailand/08/2022,1280
A/Sydney/856/2023,A/Thailand/08/2022,1280
A/Croatia/10136RV/2023,A/Thailand/08/2022,320
A/Croatia/10136RV/2023,A/Thailand/08/2022,640
A/Netherlands/10563/2023,A/Thailand/08/2022,640
A/Lisboa/216/2023,A/Thailand/08/2022,640
A/Slovenia/49/2024,A/Thailand/08/2022,320
A/Norway/12374/2023,A/Thailand/08/2022,320
A/BurkinaFaso/3131/2023,A/Thailand/08/2022,160
A/Ghana/1031/2024,A/Thailand/08/2022,1280
A/Ghana/1081/2024,A/Thailand/08/2022,640
A/Ghana/1293/2024,A/Thailand/08/2022,320
A/Ghana/5160/2024,A/Thailand/08/2022,640
A/Ghana/1406/2024,A/Thailand/08/2022,640
A/Ghana/5726/2024,A/Thailand/08/2022,320
A/Ghana/1488/2024,A/Thailand/08/2022,640
A/Albania/289813/2022,A/Sydney/856/2023,2560
A/Massachusetts/18/2022,A/Sydney/856/2023,1280
A/Thailand/08/2022,A/Sydney/856/2023,640
