Test Virus,Reference Virus,Titre
A/Wisconsin/67/2005,A/Wisconsin/67/2005,1280
A/Trieste/25c/2007,A/Wisconsin/67/2005,<40
A/Brisbane/10/2007,A/Wisconsin/67/2005,1280
A/Uruguay/716/2007,A/Wisconsin/67/2005,640
A/Finland/9/2008,A/Wisconsin/67/2005,160
A/Johannesburg/15/2008,A/Wisconsin/67/2005,160
A/Brisbane/24/2008,A/Wisconsin/67/2005,1280
A/Hong Kong/1952/2009,A/Wisconsin/67/2005,160
A/Hong Kong/1985/2009,A/Wisconsin/67/2005,40
A/Perth/15/2009,A/Wisconsin/67/2005,<40
A/Perth/16/2009,A/Wisconsin/67/2005,<40
A/Madagascar/4007/2009,A/Wisconsin/67/2005,160
A/Madagascar/4010/2009,A/Wisconsin/67/2005,160
A/Madagascar/4286/2009,A/Wisconsin/67/2005,160
A/Ukraine/86/09,A/Wisconsin/67/2005,640
A/Odessa/366/09,A/Wisconsin/67/2005,320
A/Luxembourg/612/2009,A/Wisconsin/67/2005,640
A/Johannesburg/131/2009,A/Wisconsin/67/2005,1280
A/Johannesburg/161/2009,A/Wisconsin/67/2005,640
A/Lyon/CHU/20,A/Wisconsin/67/2005,80
A/Hong Kong/2139/2009,A/Wisconsin/67/2005,160
A/Hong Kong/2142/2009,A/Wisconsin/67/2005,80
A/Singapore/46/2009,A/Wisconsin/67/2005,40
A/Singapore/47/2009,A/Wisconsin/67/2005,80
A/Grenoble/1144/2009,A/Wisconsin/67/2005,80
A/Luxembourg/782/2009,A/Wisconsin/67/2005,<40
A/Luxembourg/791/2009,A/Wisconsin/67/2005,40
A/Singapore/42/2009,A/Wisconsin/67/2005,80
A/Johannesburg/126/2009,A/Wisconsin/67/2005,320
A/Wisconsin/67/2005,A/Trieste/25c/2007,1280
A/Trieste/25c/2007,A/Trieste/25c/2007,80
A/Brisbane/10/2007,A/Trieste/25c/2007,2560
A/Uruguay/716/2007,A/Trieste/25c/2007,640
A/Finland/9/2008,A/Trieste/25c/2007,320
A/Johannesburg/15/2008,A/Trieste/25c/2007,320
A/Brisbane/24/2008,A/Trieste/25c/2007,2560
A/Hong Kong/1952/2009,A/Trieste/25c/2007,160
A/Hong Kong/1985/2009,A/Trieste/25c/2007,40
A/Perth/15/2009,A/Trieste/25c/2007,<40
A/Perth/16/2009,A/Trieste/25c/2007,<40
A/Madagascar/4007/2009,A/Trieste/25c/2007,320
A/Madagascar/4010/2009,A/Trieste/25c/2007,640
A/Madagascar/4286/2009,A/Trieste/25c/2007,160
A/Ukraine/86/09,A/Trieste/25c/2007,640
A/Odessa/366/09,A/Trieste/25c/2007,640
A/Luxembourg/612/2009,A/Trieste/25c/2007,640
A/Johannesburg/131/2009,A/Trieste/25c/2007,1280
A/Johannesburg/161/2009,A/Trieste/25c/2007,1280
A/Lyon/CHU/20,A/Trieste/25c/2007,320
A/Hong Kong/2139/2009,A/Trieste/25c/2007,160
A/Hong Kong/2142/2009,A/Trieste/25c/2007,80
A/Singapore/46/2009,A/Trieste/25c/2007,40
A/Singapore/47/2009,A/Trieste/25c/2007,40
A/Grenoble/1144/2009,A/Trieste/25c/2007,640
A/Luxembourg/782/2009,A/Trieste/25c/2007,40
A/Luxembourg/791/2009,A/Trieste/25c/2007,40
A/Singapore/42/2009,A/Trieste/25c/2007,320
A/Johannesburg/126/2009,A/Trieste/25c/2007,640
A/Wisconsin/67/2005,A/Brisbane/10/2007,640
A/Trieste/25c/2007,A/Brisbane/10/2007,80
A/Brisbane/10/2007,A/Brisbane/10/2007,2560
A/Uruguay/716/2007,A/Brisbane/10/2007,640
A/Finland/9/2008,A/Brisbane/10/2007,640
A/Johannesburg/15/2008,A/Brisbane/10/2007,320
A/Brisbane/24/2008,A/Brisbane/10/2007,5120
A/Hong Kong/1952/2009,A/Brisbane/10/2007,320
A/Hong Kong/1985/2009,A/Brisbane/10/2007,80
A/Perth/15/2009,A/Brisbane/10/2007,<40
A/Perth/16/2009,A/Brisbane/10/2007,<40
A/Madagascar/4007/2009,A/Brisbane/10/2007,320
A/Madagascar/4010/2009,A/Brisbane/10/2007,640
A/Madagascar/4286/2009,A/Brisbane/10/2007,320
A/Ukraine/86/09,A/Brisbane/10/2007,1280
A/Odessa/366/09,A/Brisbane/10/2007,1280
A/Luxembourg/612/2009,A/Brisbane/10/2007,1280
A/Johannesburg/131/2009,A/Brisbane/10/2007,2560
A/Johannesburg/161/2009,A/Brisbane/10/2007,1280
A/Lyon/CHU/20,A/Brisbane/10/2007,160
A/Hong Kong/2139/2009,A/Brisbane/10/2007,160
A/Hong Kong/2142/2009,A/Brisbane/10/2007,160
A/Singapore/46/2009,A/Brisbane/10/2007,80
A/Singapore/47/2009,A/Brisbane/10/2007,80
A/Grenoble/1144/2009,A/Brisbane/10/2007,160
A/Luxembourg/782/2009,A/Brisbane/10/2007,80
A/Luxembourg/791/2009,A/Brisbane/10/2007,80
A/Singapore/42/2009,A/Brisbane/10/2007,160
A/Johannesburg/126/2009,A/Brisbane/10/2007,1280
A/Wisconsin/67/2005,A/Uruguay/716/2007,2560
A/Trieste/25c/2007,A/Uruguay/716/2007,80
A/Brisbane/10/2007,A/Uruguay/716/2007,5120
A/Uruguay/716/2007,A/Uruguay/716/2007,1280
A/Finland/9/2008,A/Uruguay/716/2007,320
A/Johannesburg/15/2008,A/Uruguay/716/2007,320
A/Brisbane/24/2008,A/Uruguay/716/2007,5120
A/Hong Kong/1952/2009,A/Uruguay/716/2007,320
A/Hong Kong/1985/2009,A/Uruguay/716/2007,160
A/Perth/15/2009,A/Uruguay/716/2007,<40
A/Perth/16/2009,A/Uruguay/716/2007,<40
A/Madagascar/4007/2009,A/Uruguay/716/2007,1280
A/Madagascar/4010/2009,A/Uruguay/716/2007,1280
A/Madagascar/4286/2009,A/Uruguay/716/2007,640
A/Ukraine/86/09,A/Uruguay/716/2007,1280
A/Odessa/366/09,A/Uruguay/716/2007,1280
A/Luxembourg/612/2009,A/Uruguay/716/2007,1280
A/Johannesburg/131/2009,A/Uruguay/716/2007,5120
A/Johannesburg/161/2009,A/Uruguay/716/2007,1280
A/Lyon/CHU/20,A/Uruguay/716/2007,320
A/Hong Kong/2139/2009,A/Uruguay/716/2007,640
A/Hong Kong/2142/2009,A/Uruguay/716/2007,640
A/Singapore/46/2009,A/Uruguay/716/2007,320
A/Singapore/47/2009,A/Uruguay/716/2007,160
A/Grenoble/1144/2009,A/Uruguay/716/2007,320
A/Luxembourg/782/2009,A/Uruguay/716/2007,80
A/Luxembourg/791/2009,A/Uruguay/716/2007,160
A/Singapore/42/2009,A/Uruguay/716/2007,160
A/Johannesburg/126/2009,A/Uruguay/716/2007,640
A/Wisconsin/67/2005,A/Finland/9/2008,640
A/Trieste/25c/2007,A/Finland/9/2008,40
A/Brisbane/10/2007,A/Finland/9/2008,2560
A/Uruguay/716/2007,A/Finland/9/2008,640
A/Finland/9/2008,A/Finland/9/2008,640
A/Johannesburg/15/2008,A/Finland/9/2008,320
A/Brisbane/24/2008,A/Finland/9/2008,1280
A/Hong Kong/1952/2009,A/Finland/9/2008,320
A/Hong Kong/1985/2009,A/Finland/9/2008,40
A/Perth/15/2009,A/Finland/9/2008,<40
A/Perth/16/2009,A/Finland/9/2008,<40
A/Madagascar/4007/2009,A/Finland/9/2008,320
A/Madagascar/4010/2009,A/Finland/9/2008,320
A/Madagascar/4286/2009,A/Finland/9/2008,160
A/Ukraine/86/09,A/Finland/9/2008,640
A/Odessa/366/09,A/Finland/9/2008,640
A/Luxembourg/612/2009,A/Finland/9/2008,320
A/Johannesburg/131/2009,A/Finland/9/2008,1280
A/Johannesburg/161/2009,A/Finland/9/2008,640
A/Lyon/CHU/20,A/Finland/9/2008,160
A/Hong Kong/2139/2009,A/Finland/9/2008,160
A/Hong Kong/2142/2009,A/Finland/9/2008,80
A/Singapore/46/2009,A/Finland/9/2008,40
A/Singapore/47/2009,A/Finland/9/2008,40
A/Grenoble/1144/2009,A/Finland/9/2008,160
A/Luxembourg/782/2009,A/Finland/9/2008,40
A/Luxembourg/791/2009,A/Finland/9/2008,<40
A/Singapore/42/2009,A/Finland/9/2008,40
A/Johannesburg/126/2009,A/Finland/9/2008,640
A/Wisconsin/67/2005,A/Johannesburg/15/2008,640
A/Trieste/25c/2007,A/Johannesburg/15/2008,40
A/Brisbane/10/2007,A/Johannesburg/15/2008,1280
A/Uruguay/716/2007,A/Johannesburg/15/2008,320
A/Finland/9/2008,A/Johannesburg/15/2008,320
A/Johannesburg/15/2008,A/Johannesburg/15/2008,320
A/Brisbane/24/2008,A/Johannesburg/15/2008,1280
A/Hong Kong/1952/2009,A/Johannesburg/15/2008,160
A/Hong Kong/1985/2009,A/Johannesburg/15/2008,40
A/Perth/15/2009,A/Johannesburg/15/2008,<40
A/Perth/16/2009,A/Johannesburg/15/2008,<40
A/Madagascar/4007/2009,A/Johannesburg/15/2008,320
A/Madagascar/4010/2009,A/Johannesburg/15/2008,640
A/Madagascar/4286/2009,A/Johannesburg/15/2008,160
A/Ukraine/86/09,A/Johannesburg/15/2008,640
A/Odessa/366/09,A/Johannesburg/15/2008,640
A/Luxembourg/612/2009,A/Johannesburg/15/2008,640
A/Johannesburg/131/2009,A/Johannesburg/15/2008,1280
A/Johannesburg/161/2009,A/Johannesburg/15/2008,640
A/Lyon/CHU/20,A/Johannesburg/15/2008,320
A/Hong Kong/2139/2009,A/Johannesburg/15/2008,160
A/Hong Kong/2142/2009,A/Johannesburg/15/2008,80
A/Singapore/46/2009,A/Johannesburg/15/2008,40
A/Singapore/47/2009,A/Johannesburg/15/2008,40
A/Grenoble/1144/2009,A/Johannesburg/15/2008,320
A/Luxembourg/782/2009,A/Johannesburg/15/2008,40
A/Luxembourg/791/2009,A/Johannesburg/15/2008,40
A/Singapore/42/2009,A/Johannesburg/15/2008,80
A/Johannesburg/126/2009,A/Johannesburg/15/2008,<40
A/Wisconsin/67/2005,A/Brisbane/24/2008,1280
A/Trieste/25c/2007,A/Brisbane/24/2008,80
A/Brisbane/10/2007,A/Brisbane/24/2008,2560
A/Uruguay/716/2007,A/Brisbane/24/2008,640
A/Finland/9/2008,A/Brisbane/24/2008,320
A/Johannesburg/15/2008,A/Brisbane/24/2008,320
A/Brisbane/24/2008,A/Brisbane/24/2008,2560
A/Hong Kong/1952/2009,A/Brisbane/24/2008,320
A/Hong Kong/1985/2009,A/Brisbane/24/2008,40
A/Perth/15/2009,A/Brisbane/24/2008,<40
A/Perth/16/2009,A/Brisbane/24/2008,<40
A/Madagascar/4007/2009,A/Brisbane/24/2008,320
A/Madagascar/4010/2009,A/Brisbane/24/2008,320
A/Madagascar/4286/2009,A/Brisbane/24/2008,320
A/Ukraine/86/09,A/Brisbane/24/2008,640
A/Odessa/366/09,A/Brisbane/24/2008,640
A/Luxembourg/612/2009,A/Brisbane/24/2008,640
A/Johannesburg/131/2009,A/Brisbane/24/2008,1280
A/Johannesburg/161/2009,A/Brisbane/24/2008,640
A/Lyon/CHU/20,A/Brisbane/24/2008,160
A/Hong Kong/2139/2009,A/Brisbane/24/2008,160
A/Hong Kong/2142/2009,A/Brisbane/24/2008,80
A/Singapore/46/2009,A/Brisbane/24/2008,80
A/Singapore/47/2009,A/Brisbane/24/2008,80
A/Grenoble/1144/2009,A/Brisbane/24/2008,160
A/Luxembourg/782/2009,A/Brisbane/24/2008,40
A/Luxembourg/791/2009,A/Brisbane/24/2008,40
A/Singapore/42/2009,A/Brisbane/24/2008,80
A/Johannesburg/126/2009,A/Brisbane/24/2008,160
A/Wisconsin/67/2005,A/Hong Kong/1952/2009,<40
A/Trieste/25c/2007,A/Hong Kong/1952/2009,40
A/Brisbane/10/2007,A/Hong Kong/1952/2009,40
A/Uruguay/716/2007,A/Hong Kong/1952/2009,<40
A/Finland/9/2008,A/Hong Kong/1952/2009,80
A/Johannesburg/15/2008,A/Hong Kong/1952/2009,80
A/Brisbane/24/2008,A/Hong Kong/1952/2009,<40
A/Hong Kong/1952/2009,A/Hong Kong/1952/2009,640
A/Hong Kong/1985/2009,A/Hong Kong/1952/2009,160
A/Perth/15/2009,A/Hong Kong/1952/2009,80
A/Perth/16/2009,A/Hong Kong/1952/2009,160
A/Madagascar/4007/2009,A/Hong Kong/1952/2009,80
A/Madagascar/4010/2009,A/Hong Kong/1952/2009,80
A/Madagascar/4286/2009,A/Hong Kong/1952/2009,80
A/Ukraine/86/09,A/Hong Kong/1952/2009,40
A/Odessa/366/09,A/Hong Kong/1952/2009,40
A/Luxembourg/612/2009,A/Hong Kong/1952/2009,40
A/Johannesburg/131/2009,A/Hong Kong/1952/2009,320
