Test Virus,Reference Virus,Titre
A/Stockholm/6/2014,A/Stockholm/6/2014,160
A/Hong Kong/5738/2014,A/Stockholm/6/2014,160
A/Bretagne/1413/2017,A/Stockholm/6/2014,80
A/Singapore/INFIMH-16-0019/2016,A/Stockholm/6/2014,<40
A/Switzerland/8060/2017,A/Stockholm/6/2014,<40
A/England/538/2018,A/Stockholm/6/2014,40
A/Netherlands/10260/2018,A/Stockholm/6/2014,40
A/Abu Dhabi/240/2018,A/Stockholm/6/2014,<40
A/Parma/177/2018,A/Stockholm/6/2014,160
A/Parma/180/2018,A/Stockholm/6/2014,80
A/Parma/179/2018,A/Stockholm/6/2014,160
A/Parma/174/2018,A/Stockholm/6/2014,160
A/England/630/2018,A/Stockholm/6/2014,80
A/Hong Kong/2946/2018,A/Stockholm/6/2014,40
A/England/646/2018,A/Stockholm/6/2014,<40
A/Constanta/239165/2018,A/Stockholm/6/2014,<40
A/England/754/2018,A/Stockholm/6/2014,<40
A/Centre/013/2019,A/Stockholm/6/2014,160
A/Pays de Loire/040/2019,A/Stockholm/6/2014,80
A/Nord Pas de Calais/054/2019,A/Stockholm/6/2014,40
A/England/3/2019,A/Stockholm/6/2014,40
A/Paris/105/2019,A/Stockholm/6/2014,<40
A/Iasi/239836/2019,A/Stockholm/6/2014,80
A/Palermo/327/2018,A/Stockholm/6/2014,160
A/Ghana/758/2018,A/Stockholm/6/2014,80
A/Nord Pas de Calais/2726/2018,A/Stockholm/6/2014,80
A/Bourgogne/074/2019,A/Stockholm/6/2014,40
A/Haute Normandie/085/2019,A/Stockholm/6/2014,<40
A/Stockholm/6/2014,A/Hong Kong/5738/2014,40
A/Hong Kong/5738/2014,A/Hong Kong/5738/2014,80
A/Bretagne/1413/2017,A/Hong Kong/5738/2014,<40
A/Singapore/INFIMH-16-0019/2016,A/Hong Kong/5738/2014,<40
A/Switzerland/8060/2017,A/Hong Kong/5738/2014,40
A/England/538/2018,A/Hong Kong/5738/2014,<40
A/Netherlands/10260/2018,A/Hong Kong/5738/2014,<40
A/Abu Dhabi/240/2018,A/Hong Kong/5738/2014,<40
A/Parma/177/2018,A/Hong Kong/5738/2014,80
A/Parma/180/2018,A/Hong Kong/5738/2014,40
A/Parma/179/2018,A/Hong Kong/5738/2014,40
A/Parma/174/2018,A/Hong Kong/5738/2014,40
A/England/630/2018,A/Hong Kong/5738/2014,40
A/Hong Kong/2946/2018,A/Hong Kong/5738/2014,<40
A/England/646/2018,A/Hong Kong/5738/2014,<40
A/Constanta/239165/2018,A/Hong Kong/5738/2014,<40
A/England/754/2018,A/Hong Kong/5738/2014,<40
A/Centre/013/2019,A/Hong Kong/5738/2014,<40
A/Pays de Loire/040/2019,A/Hong Kong/5738/2014,<40
A/Nord Pas de Calais/054/2019,A/Hong Kong/5738/2014,<40
A/England/3/2019,A/Hong Kong/5738/2014,<40
A/Paris/105/2019,A/Hong Kong/5738/2014,<40
A/Iasi/239836/2019,A/Hong Kong/5738/2014,40
A/Palermo/327/2018,A/Hong Kong/5738/2014,40
A/Ghana/758/2018,A/Hong Kong/5738/2014,<40
A/Nord Pas de Calais/2726/2018,A/Hong Kong/5738/2014,<40
A/Bourgogne/074/2019,A/Hong Kong/5738/2014,<40
A/Haute Normandie/085/2019,A/Hong Kong/5738/2014,<40
A/Stockholm/6/2014,A/Bretagne/1413/2017,80
A/Hong Kong/5738/2014,A/Bretagne/1413/2017,160
A/Bretagne/1413/2017,A/Bretagne/1413/2017,640
A/Singapore/INFIMH-16-0019/2016,A/Bretagne/1413/2017,40
