Test Virus,Reference Virus,Titre
A/Perugia/7/03,A/Egypt/130/02,5120
A/Hannover/94/03,A/Egypt/130/02,*
A/Belgrade/1061/03,A/Egypt/130/02,2560
A/Geneva/3340/03,A/Egypt/130/02,2560
A/Greece/109/03,A/Egypt/130/02,640
A/Oslo/3391/03,A/Egypt/130/02,2560
A/Dakar/11/02,A/Egypt/130/02,2560
A/Lyon/476/03,A/Egypt/130/02,*
A/Netherlands/17/03,A/Egypt/130/02,320
A/Firenze/10/03,A/Egypt/130/02,*
A/Berlin/35/03,A/Egypt/130/02,*
A/Parma/18/03,A/Egypt/130/02,320
A/Moscow/48/03,A/Egypt/130/02,160
A/Geneva/3767/03,A/Egypt/130/02,160
A/Dakar/10/03,A/Egypt/130/02,160
A/St. Petersburg/122/03,A/Egypt/130/02,320
A/Denmark/44/03,A/Egypt/130/02,320
A/Stockholm/10/03,A/Egypt/130/02,320
A/Iceland/22/03,A/Egypt/130/02,320
A/Finland/300/03,A/Egypt/130/02,320
A/Barcelona/364/03,A/Egypt/130/02,160
A/Madagascar/69863/03,A/Egypt/130/02,80
A/Israel/3650/03,A/Egypt/130/02,640
A/Johannesburg/28/03,A/Egypt/130/02,160
A/Hong Kong/1227/03,A/Egypt/130/02,160
A/Panama/2007/99,A/Fujian/411/02,80
A/New York/55/01,A/Fujian/411/02,160
A/Hong Kong/1550/02,A/Fujian/411/02,160
A/Egypt/130/02,A/Fujian/411/02,160
A/Fujian/411/02,A/Fujian/411/02,640
A/Sendai/4952/02,A/Fujian/411/02,320
A/Finland/170/03,A/Fujian/411/02,640
A/Netherlands/369/02,A/Fujian/411/02,160
A/Austria/79807/03,A/Fujian/411/02,80
A/Rome/3/03,A/Fujian/411/02,<40
A/Prague/34/03,A/Fujian/411/02,<40
A/Slovakia/252/03,A/Fujian/411/02,160
A/Latvia/1506/03,A/Fujian/411/02,160
A/Perugia/7/03,A/Fujian/411/02,40
A/Hannover/94/03,A/Fujian/411/02,40
A/Belgrade/1061/03,A/Fujian/411/02,160
A/Geneva/3340/03,A/Fujian/411/02,80
A/Greece/109/03,A/Fujian/411/02,40
A/Oslo/3391/03,A/Fujian/411/02,160
A/Dakar/11/02,A/Fujian/411/02,<40
A/Lyon/476/03,A/Fujian/411/02,160
A/Netherlands/17/03,A/Fujian/411/02,640
A/Firenze/10/03,A/Fujian/411/02,640
A/Berlin/35/03,A/Fujian/411/02,640
A/Parma/18/03,A/Fujian/411/02,1280
A/Moscow/48/03,A/Fujian/411/02,640
A/Geneva/3767/03,A/Fujian/411/02,640
A/Dakar/10/03,A/Fujian/411/02,320
A/St. Petersburg/122/03,A/Fujian/411/02,320
A/Denmark/44/03,A/Fujian/411/02,640
A/Stockholm/10/03,A/Fujian/411/02,1280
A/Iceland/22/03,A/Fujian/411/02,320
A/Finland/300/03,A/Fujian/411/02,640
A/Barcelona/364/03,A/Fujian/411/02,1280
A/Madagascar/69863/03,A/Fujian/411/02,160
A/Israel/3650/03,A/Fujian/411/02,640
A/Johannesburg/28/03,A/Fujian/411/02,640
A/Hong Kong/1227/03,A/Fujian/411/02,320
A/Panama/2007/99,A/Sendai/4952/02,160
A/New York/55/01,A/Sendai/4952/02,320
A/Hong Kong/1550/02,A/Sendai/4952/02,320
A/Egypt/130/02,A/Sendai/4952/02,80
A/Fujian/411/02,A/Sendai/4952/02,640
A/Sendai/4952/02,A/Sendai/4952/02,640
A/Finland/170/03,A/Sendai/4952/02,640
A/Netherlands/369/02,A/Sendai/4952/02,320
A/Austria/79807/03,A/Sendai/4952/02,*
A/Rome/3/03,A/Sendai/4952/02,40
A/Prague/34/03,A/Sendai/4952/02,<40
A/Slovakia/252/03,A/Sendai/4952/02,*
A/Latvia/1506/03,A/Sendai/4952/02,40
A/Perugia/7/03,A/Sendai/4952/02,*
A/Hannover/94/03,A/Sendai/4952/02,80
A/Belgrade/1061/03,A/Sendai/4952/02,80
A/Geneva/3340/03,A/Sendai/4952/02,80
A/Greece/109/03,A/Sendai/4952/02,40
