Test Virus,Reference Virus,Titre
A/Perth/16/2009,A/Perth/16/2009,640
A/Victoria/208/2009,A/Perth/16/2009,640
A/Alabama/5/2010,A/Perth/16/2009,<40
A/Stockholm/18/2011,A/Perth/16/2009,40
A/Iowa/19/2010,A/Perth/16/2009,320
A/Victoria/361/2011,A/Perth/16/2009,320
A/Berlin/93/2011,A/Perth/16/2009,160
A/Victoria/361/2011,A/Perth/16/2009,80
A/Athens/112/2012,A/Perth/16/2009,40
A/Texas/50/2012,A/Perth/16/2009,640
A/Hawaii/22/2012,A/Perth/16/2009,320
A/Christchurch/512/2012,A/Perth/16/2009,640
A/Cameroon/12V-4093/2012,A/Perth/16/2009,40
A/Cameroon/12V-4221/2012,A/Perth/16/2009,40
A/Cameroon/12V-4389/2012,A/Perth/16/2009,40
A/Cameroon/12V-4653/2012,A/Perth/16/2009,<40
A/Cameroon/12V-4651/2012,A/Perth/16/2009,80
A/Cameroon/12V-4647/2012,A/Perth/16/2009,40
A/Cameroon/12V-4648/2012,A/Perth/16/2009,<40
A/Cameroon/12V-4666/2012,A/Perth/16/2009,40
A/Cameroon/12V-4660/2012,A/Perth/16/2009,40
A/Cameroon/12V-4661/2012,A/Perth/16/2009,160
A/Cameroon/12V-4685/2012,A/Perth/16/2009,80
A/Cameroon/12V-4585/2012,A/Perth/16/2009,<40
A/Cameroon/12V-4601/2012,A/Perth/16/2009,40
A/Cameroon/12V-4580/2012,A/Perth/16/2009,<40
A/Jordan/30502/2012,A/Perth/16/2009,40
A/Netherlands/555/2012,A/Perth/16/2009,40
A/Jordan/30536/2012,A/Perth/16/2009,<40
A/Jordan/30539/2012,A/Perth/16/2009,<40
A/Netherlands/533/2012,A/Perth/16/2009,40
A/Hong Kong/15/2013,A/Perth/16/2009,<40
A/Hong Kong/43/2013,A/Perth/16/2009,<40
A/Hong Kong/146/2013,A/Perth/16/2009,40
A/Astrakhan/1/2013,A/Perth/16/2009,80
A/Perth/16/2009,A/Victoria/208/2009,40
A/Victoria/208/2009,A/Victoria/208/2009,2560
A/Alabama/5/2010,A/Victoria/208/2009,<40
A/Stockholm/18/2011,A/Victoria/208/2009,80
A/Iowa/19/2010,A/Victoria/208/2009,640
A/Victoria/361/2011,A/Victoria/208/2009,640
A/Berlin/93/2011,A/Victoria/208/2009,160
A/Victoria/361/2011,A/Victoria/208/2009,80
A/Athens/112/2012,A/Victoria/208/2009,80
A/Texas/50/2012,A/Victoria/208/2009,1280
A/Hawaii/22/2012,A/Victoria/208/2009,1280
A/Christchurch/512/2012,A/Victoria/208/2009,2560
A/Cameroon/12V-4093/2012,A/Victoria/208/2009,40
A/Cameroon/12V-4221/2012,A/Victoria/208/2009,40
A/Cameroon/12V-4389/2012,A/Victoria/208/2009,40
A/Cameroon/12V-4653/2012,A/Victoria/208/2009,<40
A/Cameroon/12V-4651/2012,A/Victoria/208/2009,160
A/Cameroon/12V-4647/2012,A/Victoria/208/2009,160
A/Cameroon/12V-4648/2012,A/Victoria/208/2009,<40
A/Cameroon/12V-4666/2012,A/Victoria/208/2009,40
A/Cameroon/12V-4660/2012,A/Victoria/208/2009,80
A/Cameroon/12V-4661/2012,A/Victoria/208/2009,160
A/Cameroon/12V-4685/2012,A/Victoria/208/2009,160
A/Cameroon/12V-4585/2012,A/Victoria/208/2009,<40
A/Cameroon/12V-4601/2012,A/Victoria/208/2009,40
A/Cameroon/12V-4580/2012,A/Victoria/208/2009,40
A/Jordan/30502/2012,A/Victoria/208/2009,80
A/Netherlands/555/2012,A/Victoria/208/2009,160
A/Jordan/30536/2012,A/Victoria/208/2009,40
A/Jordan/30539/2012,A/Victoria/208/2009,40
A/Netherlands/533/2012,A/Victoria/208/2009,160
A/Hong Kong/15/2013,A/Victoria/208/2009,160
A/Hong Kong/43/2013,A/Victoria/208/2009,40
A/Hong Kong/146/2013,A/Victoria/208/2009,40
A/Astrakhan/1/2013,A/Victoria/208/2009,160
