Test Virus,Reference Virus,Titre
A/Hong Kong/5738/2014,A/Hong Kong/5738/2014,160
A/Singapore/INFIMH-16-0019/2016,A/Hong Kong/5738/2014,160
A/South Australia/34/2019,A/Hong Kong/5738/2014,160
A/Hong Kong/2671/2019,A/Hong Kong/5738/2014,40
A/Hong Kong/2669/2019,A/Hong Kong/5738/2014,80
A/England/538/2018,A/Hong Kong/5738/2014,40
A/Kansas/14/2017,A/Hong Kong/5738/2014,<40
A/Kansas/14/2017,A/Hong Kong/5738/2014,40
A/Netherlands/01624/2019,A/Hong Kong/5738/2014,40
A/Netherlands/10267/2019,A/Hong Kong/5738/2014,80
A/Netherlands/01672/2019,A/Hong Kong/5738/2014,<40
A/Netherlands/10268/2019,A/Hong Kong/5738/2014,80
A/Netherlands/10273/2019,A/Hong Kong/5738/2014,80
A/Netherlands/10279/2019,A/Hong Kong/5738/2014,40
A/Lithuania/MB42123/2019,A/Hong Kong/5738/2014,40
A/Hong Kong/5738/2014,A/Singapore/INFIMH-16-0019/2016,320
A/Singapore/INFIMH-16-0019/2016,A/Singapore/INFIMH-16-0019/2016,320
A/South Australia/34/2019,A/Singapore/INFIMH-16-0019/2016,320
A/Hong Kong/2671/2019,A/Singapore/INFIMH-16-0019/2016,160
A/Hong Kong/2669/2019,A/Singapore/INFIMH-16-0019/2016,160
A/England/538/2018,A/Singapore/INFIMH-16-0019/2016,80
A/Kansas/14/2017,A/Singapore/INFIMH-16-0019/2016,40
A/Kansas/14/2017,A/Singapore/INFIMH-16-0019/2016,80
A/Netherlands/01624/2019,A/Singapore/INFIMH-16-0019/2016,80
A/Netherlands/10267/2019,A/Singapore/INFIMH-16-0019/2016,160
A/Netherlands/01672/2019,A/Singapore/INFIMH-16-0019/2016,40
A/Netherlands/10268/2019,A/Singapore/INFIMH-16-0019/2016,160
A/Netherlands/10273/2019,A/Singapore/INFIMH-16-0019/2016,320
A/Netherlands/10279/2019,A/Singapore/INFIMH-16-0019/2016,160
A/Lithuania/MB42123/2019,A/Singapore/INFIMH-16-0019/2016,80
A/Hong Kong/5738/2014,A/Norway/3275/2018,160
A/Singapore/INFIMH-16-0019/2016,A/Norway/3275/2018,40
A/South Australia/34/2019,A/Norway/3275/2018,640
A/Hong Kong/2671/2019,A/Norway/3275/2018,<40
A/Hong Kong/2669/2019,A/Norway/3275/2018,160
A/England/538/2018,A/Norway/3275/2018,<40
A/Kansas/14/2017,A/Norway/3275/2018,<40
A/Kansas/14/2017,A/Norway/3275/2018,<40
A/Netherlands/01624/2019,A/Norway/3275/2018,<40
A/Netherlands/10267/2019,A/Norway/3275/2018,40
A/Netherlands/01672/2019,A/Norway/3275/2018,<40
A/Netherlands/10268/2019,A/Norway/3275/2018,40
A/Netherlands/10273/2019,A/Norway/3275/2018,160
A/Netherlands/10279/2019,A/Norway/3275/2018,80
A/Lithuania/MB42123/2019,A/Norway/3275/2018,<40
A/Hong Kong/5738/2014,A/South Australia/34/2019,160
A/Singapore/INFIMH-16-0019/2016,A/South Australia/34/2019,40
A/South Australia/34/2019,A/South Australia/34/2019,1280
A/Hong Kong/2671/2019,A/South Australia/34/2019,80
A/Hong Kong/2669/2019,A/South Australia/34/2019,80
A/England/538/2018,A/South Australia/34/2019,<40
A/Kansas/14/2017,A/South Australia/34/2019,<40
A/Kansas/14/2017,A/South Australia/34/2019,<40
A/Netherlands/01624/2019,A/South Australia/34/2019,<40
A/Netherlands/10267/2019,A/South Australia/34/2019,40
A/Netherlands/01672/2019,A/South Australia/34/2019,<40
A/Netherlands/10268/2019,A/South Australia/34/2019,80
A/Netherlands/10273/2019,A/South Australia/34/2019,160
A/Netherlands/10279/2019,A/South Australia/34/2019,80
A/Lithuania/MB42123/2019,A/South Australia/34/2019,<40
A/Hong Kong/5738/2014,A/La Rioja/2202/2018,160
A/Singapore/INFIMH-16-0019/2016,A/La Rioja/2202/2018,160
A/South Australia/34/2019,A/La Rioja/2202/2018,80
A/Hong Kong/2671/2019,A/La Rioja/2202/2018,40
A/Hong Kong/2669/2019,A/La Rioja/2202/2018,160
A/England/538/2018,A/La Rioja/2202/2018,<40
A/Kansas/14/2017,A/La Rioja/2202/2018,<40
A/Kansas/14/2017,A/La Rioja/2202/2018,<40
A/Netherlands/01624/2019,A/La Rioja/2202/2018,<40
A/Netherlands/10267/2019,A/La Rioja/2202/2018,40
A/Netherlands/01672/2019,A/La Rioja/2202/2018,<40
A/Netherlands/10268/2019,A/La Rioja/2202/2018,40
A/Netherlands/10273/2019,A/La Rioja/2202/2018,80
A/Netherlands/10279/2019,A/La Rioja/2202/2018,<40
A/Lithuania/MB42123/2019,A/La Rioja/2202/2018,<40
A/Hong Kong/5738/2014,A/Hong Kong/2671/2019,40
A/Singapore/INFIMH-16-0019/2016,A/Hong Kong/2671/2019,80
A/South Australia/34/2019,A/Hong Kong/2671/2019,320
A/Hong Kong/2671/2019,A/Hong Kong/2671/2019,640
A/Hong Kong/2669/2019,A/Hong Kong/2671/2019,160
A/England/538/2018,A/Hong Kong/2671/2019,80
A/Kansas/14/2017,A/Hong Kong/2671/2019,320
A/Kansas/14/2017,A/Hong Kong/2671/2019,40
A/Netherlands/01624/2019,A/Hong Kong/2671/2019,40
A/Netherlands/10267/2019,A/Hong Kong/2671/2019,40
A/Netherlands/01672/2019,A/Hong Kong/2671/2019,80
A/Netherlands/10268/2019,A/Hong Kong/2671/2019,80
A/Netherlands/10273/2019,A/Hong Kong/2671/2019,160
A/Netherlands/10279/2019,A/Hong Kong/2671/2019,80
A/Lithuania/MB42123/2019,A/Hong Kong/2671/2019,40
A/Hong Kong/5738/2014,A/Hong Kong/2669/2019,40
A/Singapore/INFIMH-16-0019/2016,A/Hong Kong/2669/2019,80
A/South Australia/34/2019,A/Hong Kong/2669/2019,<40
A/Hong Kong/2671/2019,A/Hong Kong/2669/2019,160
A/Hong Kong/2669/2019,A/Hong Kong/2669/2019,320
A/England/538/2018,A/Hong Kong/2669/2019,<40
A/Kansas/14/2017,A/Hong Kong/2669/2019,40
A/Kansas/14/2017,A/Hong Kong/2669/2019,<40
A/Netherlands/01624/2019,A/Hong Kong/2669/2019,<40
A/Netherlands/10267/2019,A/Hong Kong/2669/2019,<40
A/Netherlands/01672/2019,A/Hong Kong/2669/2019,<40
A/Netherlands/10268/2019,A/Hong Kong/2669/2019,<40
A/Netherlands/10273/2019,A/Hong Kong/2669/2019,40
A/Netherlands/10279/2019,A/Hong Kong/2669/2019,<40
A/Lithuania/MB42123/2019,A/Hong Kong/2669/2019,<40
A/Hong Kong/5738/2014,A/England/538/2018,160
A/Singapore/INFIMH-16-0019/2016,A/England/538/2018,80
A/South Australia/34/2019,A/England/538/2018,80
A/Hong Kong/2671/2019,A/England/538/2018,160
