Test Virus,Reference Virus,Titre
A/Brisbane/10/2007,A/Brisbane/10/2007,5120
A/Perth/16/2009,A/Brisbane/10/2007,<40
A/Victoria/208/2009,A/Brisbane/10/2007,1280
A/Victoria/210/2009,A/Brisbane/10/2007,640
A/Alabama/5/2010,A/Brisbane/10/2007,80
A/Perth/10/2010,A/Brisbane/10/2007,640
A/Hong Kong/3969/2011,A/Brisbane/10/2007,320
A/Stockholm/18/2011,A/Brisbane/10/2007,160
A/Iowa/19/2010,A/Brisbane/10/2007,160
A/England/253/2011,A/Brisbane/10/2007,160
A/England/257/2011,A/Brisbane/10/2007,160
A/England/256/2011,A/Brisbane/10/2007,160
A/England/255/2011,A/Brisbane/10/2007,80
A/Bratislava/31/2011,A/Brisbane/10/2007,160
A/Bratislava/31/2011,A/Brisbane/10/2007,160
A/England/258/2011,A/Brisbane/10/2007,80
A/Tunisia/15685/2011,A/Brisbane/10/2007,80
A/England/259/2011,A/Brisbane/10/2007,80
A/Finland/190/2011,A/Brisbane/10/2007,160
A/Brisbane/10/2007,A/Perth/16/2009,80
A/Perth/16/2009,A/Perth/16/2009,640
A/Victoria/208/2009,A/Perth/16/2009,640
A/Victoria/210/2009,A/Perth/16/2009,1280
A/Alabama/5/2010,A/Perth/16/2009,80
A/Perth/10/2010,A/Perth/16/2009,320
A/Hong Kong/3969/2011,A/Perth/16/2009,160
A/Stockholm/18/2011,A/Perth/16/2009,80
A/Iowa/19/2010,A/Perth/16/2009,320
A/England/253/2011,A/Perth/16/2009,160
A/England/257/2011,A/Perth/16/2009,80
A/England/256/2011,A/Perth/16/2009,80
A/England/255/2011,A/Perth/16/2009,40
A/Bratislava/31/2011,A/Perth/16/2009,160
A/Bratislava/31/2011,A/Perth/16/2009,160
A/England/258/2011,A/Perth/16/2009,80
A/Tunisia/15685/2011,A/Perth/16/2009,80
A/England/259/2011,A/Perth/16/2009,80
A/Finland/190/2011,A/Perth/16/2009,80
A/Brisbane/10/2007,A/Victoria/208/2009,40
A/Perth/16/2009,A/Victoria/208/2009,40
A/Victoria/208/2009,A/Victoria/208/2009,2560
A/Victoria/210/2009,A/Victoria/208/2009,1280
A/Alabama/5/2010,A/Victoria/208/2009,40
A/Perth/10/2010,A/Victoria/208/2009,1280
A/Hong Kong/3969/2011,A/Victoria/208/2009,160
A/Stockholm/18/2011,A/Victoria/208/2009,40
A/Iowa/19/2010,A/Victoria/208/2009,1280
A/England/253/2011,A/Victoria/208/2009,160
A/England/257/2011,A/Victoria/208/2009,160
A/England/256/2011,A/Victoria/208/2009,160
A/England/255/2011,A/Victoria/208/2009,80
A/Bratislava/31/2011,A/Victoria/208/2009,320
A/Bratislava/31/2011,A/Victoria/208/2009,160
A/England/258/2011,A/Victoria/208/2009,80
A/Tunisia/15685/2011,A/Victoria/208/2009,80
A/England/259/2011,A/Victoria/208/2009,80
A/Finland/190/2011,A/Victoria/208/2009,80
A/Brisbane/10/2007,A/Victoria/210/2009,80
A/Perth/16/2009,A/Victoria/210/2009,160
A/Victoria/208/2009,A/Victoria/210/2009,2560
A/Victoria/210/2009,A/Victoria/210/2009,2560
A/Alabama/5/2010,A/Victoria/210/2009,40
A/Perth/10/2010,A/Victoria/210/2009,2560
A/Hong Kong/3969/2011,A/Victoria/210/2009,320
A/Stockholm/18/2011,A/Victoria/210/2009,40
A/Iowa/19/2010,A/Victoria/210/2009,1280
A/England/253/2011,A/Victoria/210/2009,160
A/England/257/2011,A/Victoria/210/2009,160
A/England/256/2011,A/Victoria/210/2009,160
A/England/255/2011,A/Victoria/210/2009,160
A/Bratislava/31/2011,A/Victoria/210/2009,640
A/Bratislava/31/2011,A/Victoria/210/2009,160
A/England/258/2011,A/Victoria/210/2009,80
A/Tunisia/15685/2011,A/Victoria/210/2009,80
A/England/259/2011,A/Victoria/210/2009,80
