Test Virus,Reference Virus,Titre
A/Wisconsin/67/2005,A/Wisconsin/67/2005,1280
A/Brisbane/10/2007,A/Wisconsin/67/2005,640
A/Uruguay/716/2007,A/Wisconsin/67/2005,1280
A/Finland/9/2008,A/Wisconsin/67/2005,1280
A/Johannesburg/15/2008,A/Wisconsin/67/2005,1280
A/Hong Kong/1952/2009,A/Wisconsin/67/2005,<40
A/Hong Kong/1985/2009,A/Wisconsin/67/2005,<40
A/Perth/16/2009,A/Wisconsin/67/2005,<40
A/Wisconsin/15/2009,A/Wisconsin/67/2005,<40
A/Cameroon/445/2009,A/Wisconsin/67/2005,<40
A/England/700/2009,A/Wisconsin/67/2005,80
A/Cameroon/486/2009,A/Wisconsin/67/2005,<40
A/Hong Kong/33726/2009,A/Wisconsin/67/2005,80
A/Paris/3873/09,A/Wisconsin/67/2005,<40
A/Paris/4596/09,A/Wisconsin/67/2005,<40
A/Hong Kong/26554/2009,A/Wisconsin/67/2005,80
A/England/815/2009,A/Wisconsin/67/2005,40
A/Lyon/1715/2009,A/Wisconsin/67/2005,80
A/Hong Kong/26227/2009,A/Wisconsin/67/2005,80
A/Hong Kong/26233/2009,A/Wisconsin/67/2005,80
A/Bordeaux/1942/2009,A/Wisconsin/67/2005,<40
A/Gibraltar/SB226/09,A/Wisconsin/67/2005,40
A/Cameroon/422/2009,A/Wisconsin/67/2005,<40
A/Paris/5870/09,A/Wisconsin/67/2005,40
A/Gibraltar/SB252/09,A/Wisconsin/67/2005,40
A/Paris/6047/2009,A/Wisconsin/67/2005,80
A/Cameroon/663/2009,A/Wisconsin/67/2005,80
A/Cameroon/614/2009,A/Wisconsin/67/2005,<40
A/Cameroon/653/2009,A/Wisconsin/67/2005,<40
A/Dakar/41/2009,A/Wisconsin/67/2005,<40
A/Dakar/43/2009,A/Wisconsin/67/2005,<40
A/Cameroon/658/2009,A/Wisconsin/67/2005,40
A/Cameroon/675/2009,A/Wisconsin/67/2005,<40
A/Dakar/44/2009,A/Wisconsin/67/2005,<40
A/Algeria/G46/2009,A/Wisconsin/67/2005,80
A/Hong Kong/34194/2009,A/Wisconsin/67/2005,40
A/Hong Kong/34430/2009,A/Wisconsin/67/2005,<40
A/Cameroon/598/2009,A/Wisconsin/67/2005,80
A/Cameroon/675/2009,A/Wisconsin/67/2005,<40
A/Turkey/TR-26/2009,A/Wisconsin/67/2005,<40
A/Turkey/TR-28/2009,A/Wisconsin/67/2005,<40
A/Turkey/TR-33/2009,A/Wisconsin/67/2005,<40
A/Wisconsin/67/2005,A/Brisbane/10/2007,640
A/Brisbane/10/2007,A/Brisbane/10/2007,1280
A/Uruguay/716/2007,A/Brisbane/10/2007,1280
A/Finland/9/2008,A/Brisbane/10/2007,1280
A/Johannesburg/15/2008,A/Brisbane/10/2007,1280
A/Hong Kong/1952/2009,A/Brisbane/10/2007,80
A/Hong Kong/1985/2009,A/Brisbane/10/2007,80
A/Perth/16/2009,A/Brisbane/10/2007,<40
A/Wisconsin/15/2009,A/Brisbane/10/2007,<40
A/Cameroon/445/2009,A/Brisbane/10/2007,<40
A/England/700/2009,A/Brisbane/10/2007,160
A/Cameroon/486/2009,A/Brisbane/10/2007,80
A/Hong Kong/33726/2009,A/Brisbane/10/2007,160
A/Paris/3873/09,A/Brisbane/10/2007,80
A/Paris/4596/09,A/Brisbane/10/2007,80
A/Hong Kong/26554/2009,A/Brisbane/10/2007,160
A/England/815/2009,A/Brisbane/10/2007,160
A/Lyon/1715/2009,A/Brisbane/10/2007,160
A/Hong Kong/26227/2009,A/Brisbane/10/2007,80
A/Hong Kong/26233/2009,A/Brisbane/10/2007,80
A/Bordeaux/1942/2009,A/Brisbane/10/2007,160
