"short_name","MDS1","MDS2"
"A/Acores/SU43/2012",-4.13428148045216,1.62189581678245
"A/Adana/199/2014",0.679382563611395,1.02743160145562
"A/Adjame/GR1272/2011",-0.826771940104048,0.883421875372524
"A/Adjame/GR1327/2011",-1.68564939489747,0.969728292633242
"A/Agadir/87/2011",-2.15478495161752,1.00337856371076
"A/Akkar.LBN/6728/2021",-1.34415835162528,-0.213783403319752
"A/Alabama/05/2010",1.23323749708164,0.22407660060456
"A/Alaska/5/2010",-0.966359640660687,-2.6253454536232
"A/Albania/289605/2022",1.07363397014942,-1.06314255755455
"A/Albania/289788/2022",0.798223184498032,-0.549172873102651
"A/Albania/289813/2022",-0.29223434498587,1.00538054653612
"A/Albania/289902/2022",0.0248347360082478,-1.50140164726197
"A/Albania/290243/2022",-0.655851090960901,0.524474331347807
"A/Albania/290270/2022",-0.674399574188305,0.87516654815897
"A/Albania/290350/2022",-0.273680377835401,-0.215683966807347
"A/Albania/290380/2022",1.49133592056419,-0.838627252319148
"A/Albania/290469/2023",-1.78905938598518,-2.0235750969974
"A/Albania/290520/2023",1.05787834068922,-0.13835614303628
"A/Albania/290558/2023",-0.813817651228884,0.105095861082556
"A/Albania/299565/2023",0.529435833678305,0.153514155186725
"A/Albania/302203/2024",0.612601306969164,-0.235940914271474
"A/Albania/302412/2024",0.429475092864958,-0.0709986384071418
"A/Albania/302481/2024",0.409762201297759,0.724323200126708
"A/Albania/302626/2024",-1.48650290669559,0.850712861250767
"A/Albania/302684/2024",-1.69971059313233,1.41835389914446
"A/Albania/302765/2024",-1.19505391382749,1.66134676755074
"A/Albania/302946/2024",-0.985017003190533,1.76786614133999
"A/Alborz/96/2012",-2.18088089187956,0.54060522855293
"A/Algeria/16901/2024",0.296982309541227,-1.01708583804032
"A/Algeria/16913/2024",0.9500109373405,-1.38662898230999
"A/Algeria/339/2025",1.21668516324004,-0.613413883181902
"A/Algeria/459/2025",0.296133600010289,2.91431550183012
"A/Alsace/06300/2024",0.479901110908787,0.276995622353947
"A/Ambositra/01616/2024",0.0760677316055939,2.37268559164406
"A/Ambositra/02034/2024",0.567883972493359,0.603107078354437
