main_matrix_name,aux_0_matrix_name,aux_1_matrix_name,rmse
OVEJ920102.csv,KOSJ950107.csv,ALTS910101.csv,0.7383
OVEJ920102.csv,KOSJ950107.csv,AZAE970101.csv,0.7378
OVEJ920102.csv,KOSJ950107.csv,AZAE970102.csv,0.7379
OVEJ920102.csv,KOSJ950107.csv,BENS940101.csv,0.7378
OVEJ920102.csv,KOSJ950107.csv,BENS940102.csv,0.7378
OVEJ920102.csv,KOSJ950107.csv,BENS940103.csv,0.7379
OVEJ920102.csv,KOSJ950107.csv,BENS940104.csv,0.7377
OVEJ920102.csv,KOSJ950107.csv,BLAJ010101.csv,0.7375
OVEJ920102.csv,KOSJ950107.csv,CROG050101.csv,0.7375
OVEJ920102.csv,KOSJ950107.csv,CSEM940101.csv,0.7374
OVEJ920102.csv,KOSJ950107.csv,DAYM780301.csv,0.7376
OVEJ920102.csv,KOSJ950107.csv,DAYM780302.csv,0.7375
OVEJ920102.csv,KOSJ950107.csv,DOSZ010101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,DOSZ010102.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,DOSZ010103.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,DOSZ010104.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,FEND850101.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,FITW660101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,GEOD900101.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,GIAG010101.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,GONG920101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,GRAR740104.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,HENS920101.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,HENS920102.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,HENS920103.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,HENS920104.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,JOHM930101.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,JOND920103.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,JOND940101.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KANM000101.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KAPO950101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOLA920101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950101.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950102.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950103.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950104.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950105.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950106.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950108.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950109.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950110.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950111.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,KOSJ950112.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950113.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,KOSJ950114.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,KOSJ950115.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,LEVJ860101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,LINK010101.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,LUTR910101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,LUTR910102.csv,0.7370
OVEJ920102.csv,KOSJ950107.csv,LUTR910103.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,LUTR910104.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,LUTR910105.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,LUTR910106.csv,0.7369
OVEJ920102.csv,KOSJ950107.csv,LUTR910107.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,LUTR910108.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,LUTR910109.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,MCLA710101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,MCLA720101.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,MEHP950102.csv,0.7372
OVEJ920102.csv,KOSJ950107.csv,MIYS930101.csv,0.7371
OVEJ920102.csv,KOSJ950107.csv,MIYT790101.csv,0.7371
