matrix_name,rmse
ALTS910101.csv,1.1286
AZAE970101.csv,1.1277
AZAE970102.csv,1.1282
BENS940101.csv,1.1286
BENS940102.csv,1.1283
BENS940103.csv,1.1283
BENS940104.csv,1.1291
BLAJ010101.csv,1.1278
CROG050101.csv,1.1278
CSEM940101.csv,1.1285
DAYM780301.csv,1.1288
DAYM780302.csv,1.1285
DOSZ010101.csv,0.7468
DOSZ010102.csv,0.7457
DOSZ010103.csv,0.7456
DOSZ010104.csv,0.7448
FEND850101.csv,1.1273
FITW660101.csv,1.1277
GEOD900101.csv,1.1501
GIAG010101.csv,0.7445
GONG920101.csv,1.1283
GRAR740104.csv,1.1282
HENS920101.csv,1.1283
HENS920102.csv,1.1287
HENS920103.csv,1.1283
HENS920104.csv,1.1292
JOHM930101.csv,1.1284
JOND920103.csv,1.1432
JOND940101.csv,1.1282
KANM000101.csv,1.1286
KAPO950101.csv,1.1288
KOLA920101.csv,1.1274
KOSJ950101.csv,0.7463
KOSJ950102.csv,0.7453
KOSJ950103.csv,0.7464
KOSJ950104.csv,0.7447
KOSJ950105.csv,0.7448
KOSJ950106.csv,0.7469
KOSJ950107.csv,0.7457
KOSJ950108.csv,0.7456
KOSJ950109.csv,0.7454
KOSJ950110.csv,0.7460
KOSJ950111.csv,0.7456
KOSJ950112.csv,0.7446
KOSJ950113.csv,0.7453
KOSJ950114.csv,0.7452
KOSJ950115.csv,0.7456
LEVJ860101.csv,1.1273
LINK010101.csv,0.7451
LUTR910101.csv,1.1285
LUTR910102.csv,1.1283
LUTR910103.csv,1.1290
LUTR910104.csv,1.1285
LUTR910105.csv,1.1283
LUTR910106.csv,1.1280
LUTR910107.csv,1.1284
LUTR910108.csv,1.1284
LUTR910109.csv,1.1281
MCLA710101.csv,1.1282
MCLA720101.csv,1.1286
MEHP950102.csv,1.1287
MIYS930101.csv,1.1285
MIYT790101.csv,1.1279
MOHR870101.csv,1.1273
MUET010101.csv,1.1273
MUET020101.csv,1.1284
MUET020102.csv,1.1278
NAOD960101.csv,1.1284
NGPC000101.csv,1.1284
NIEK910101.csv,1.1279
NIEK910102.csv,1.1281
OGAK980101.csv,1.1282
OVEJ920101.csv,1.1281
OVEJ920102.csv,0.7443
OVEJ920103.csv,0.7452
OVEJ920104.csv,0.7447
OVEJ920105.csv,0.7446
PRLA000101.csv,1.1283
PRLA000102.csv,1.1282
QUIB020101.csv,1.1278
QU_C930101.csv,1.1287
QU_C930102.csv,1.1276
QU_C930103.csv,1.1286
RIER950101.csv,1.1285
RISJ880101.csv,1.1285
RUSR970101.csv,1.1284
RUSR970102.csv,1.1427
RUSR970103.csv,1.1345
TUDE900101.csv,1.1289
VOGG950101.csv,1.1283
WEIL970101.csv,1.1271
WEIL970102.csv,1.1356
