matrix_name,rmse
PRLA000101.csv,0.8505
KOSJ950115.csv,0.8537
ALTS910101.csv,0.8520
KOSJ950102.csv,0.8508
GONG920101.csv,0.8579
WEIL970101.csv,0.8706
BENS940102.csv,0.8528
NGPC000101.csv,0.8521
KOSJ950109.csv,0.8527
DOSZ010103.csv,0.8559
QUIB020101.csv,0.8531
VOGG950101.csv,0.8579
JOHM930101.csv,0.8523
AZAE970102.csv,0.8527
KOSJ950105.csv,0.8505
KOSJ950101.csv,0.8531
LUTR910104.csv,0.8469
PRLA000102.csv,0.8542
BENS940103.csv,0.8535
MOHR870101.csv,0.8610
KOSJ950114.csv,0.8539
OVEJ920102.csv,0.8519
HENS920103.csv,0.8604
BENS940104.csv,0.8499
MIYS930101.csv,0.8534
KANM000101.csv,0.8584
RUSR970101.csv,0.8614
BENS940101.csv,0.8496
MUET020101.csv,0.8582
GEOD900101.csv,0.8911
LINK010101.csv,0.8528
OVEJ920101.csv,0.8594
LUTR910102.csv,0.8479
DOSZ010101.csv,0.8506
KOSJ950113.csv,0.8536
KOSJ950107.csv,0.8540
RUSR970103.csv,0.8533
BLAJ010101.csv,0.8543
KOSJ950110.csv,0.8553
KOSJ950108.csv,0.8541
FITW660101.csv,0.8662
OVEJ920103.csv,0.8482
NIEK910102.csv,0.8484
KAPO950101.csv,0.8496
OVEJ920105.csv,0.8514
NIEK910101.csv,0.8488
MUET020102.csv,0.8582
CROG050101.csv,0.8749
KOLA920101.csv,0.8742
KOSJ950106.csv,0.8516
LEVJ860101.csv,0.8647
DOSZ010104.csv,0.8546
LUTR910108.csv,0.8562
HENS920104.csv,0.8605
MCLA710101.csv,0.8630
NAOD960101.csv,0.8530
DAYM780302.csv,0.8528
QU_C930102.csv,0.8597
MIYT790101.csv,0.8502
JOND940101.csv,0.8574
OGAK980101.csv,0.8577
HENS920102.csv,0.8591
TUDE900101.csv,0.8490
HENS920101.csv,0.8598
KOSJ950111.csv,0.8551
KOSJ950103.csv,0.8555
QU_C930101.csv,0.8499
RIER950101.csv,0.8469
LUTR910103.csv,0.8527
FEND850101.csv,0.8629
JOND920103.csv,0.8651
GRAR740104.csv,0.8498
DAYM780301.csv,0.8531
LUTR910105.csv,0.8513
DOSZ010102.csv,0.8502
KOSJ950112.csv,0.8700
MEHP950102.csv,0.8570
LUTR910107.csv,0.8579
CSEM940101.csv,0.8536
LUTR910101.csv,0.8538
LUTR910106.csv,0.8510
RUSR970102.csv,0.8596
MCLA720101.csv,0.8648
AZAE970101.csv,0.8535
GIAG010101.csv,0.8500
QU_C930103.csv,0.8772
RISJ880101.csv,0.8602
LUTR910109.csv,0.8521
OVEJ920104.csv,0.8470
KOSJ950104.csv,0.8563
MUET010101.csv,0.8551
WEIL970102.csv,0.8595
