main_matrix_name,aux_matrix_name,rmse
RIER950101.csv,KOSJ950111.csv,0.8302
RIER950101.csv,MIYT790101.csv,0.8314
RIER950101.csv,RISJ880101.csv,0.8289
RIER950101.csv,WEIL970102.csv,0.8291
RIER950101.csv,MUET020102.csv,0.8314
RIER950101.csv,KOSJ950104.csv,0.8315
RIER950101.csv,KOSJ950103.csv,0.8298
RIER950101.csv,DOSZ010103.csv,0.8298
RIER950101.csv,QUIB020101.csv,0.8315
RIER950101.csv,BLAJ010101.csv,0.8316
RIER950101.csv,MIYS930101.csv,0.8289
RIER950101.csv,KOSJ950114.csv,0.8305
RIER950101.csv,HENS920102.csv,0.8304
RIER950101.csv,ALTS910101.csv,0.8294
RIER950101.csv,LINK010101.csv,0.8309
RIER950101.csv,KAPO950101.csv,0.8289
RIER950101.csv,LUTR910109.csv,0.8308
RIER950101.csv,AZAE970101.csv,0.8295
RIER950101.csv,DAYM780302.csv,0.8287
RIER950101.csv,OVEJ920103.csv,0.8302
RIER950101.csv,KOLA920101.csv,0.8300
RIER950101.csv,KOSJ950112.csv,0.8316
RIER950101.csv,LUTR910107.csv,0.8291
RIER950101.csv,KOSJ950107.csv,0.8307
RIER950101.csv,KANM000101.csv,0.8306
RIER950101.csv,OVEJ920102.csv,0.8296
RIER950101.csv,KOSJ950115.csv,0.8300
RIER950101.csv,LUTR910108.csv,0.8312
RIER950101.csv,GEOD900101.csv,0.8282
RIER950101.csv,GIAG010101.csv,0.8289
OVEJ920104.csv,KOSJ950101.csv,0.8310
OVEJ920104.csv,KOSJ950113.csv,0.8309
OVEJ920104.csv,MOHR870101.csv,0.8324
OVEJ920104.csv,NAOD960101.csv,0.8295
OVEJ920104.csv,RUSR970103.csv,0.8288
OVEJ920104.csv,PRLA000101.csv,0.8286
OVEJ920104.csv,BENS940102.csv,0.8305
OVEJ920104.csv,LEVJ860101.csv,0.8289
OVEJ920104.csv,QU_C930101.csv,0.8304
OVEJ920104.csv,VOGG950101.csv,0.8299
OVEJ920104.csv,LUTR910106.csv,0.8293
OVEJ920104.csv,HENS920101.csv,0.8302
OVEJ920104.csv,KOSJ950102.csv,0.8303
OVEJ920104.csv,FEND850101.csv,0.8308
OVEJ920104.csv,MCLA710101.csv,0.8327
OVEJ920104.csv,QU_C930103.csv,0.8310
OVEJ920104.csv,JOHM930101.csv,0.8317
OVEJ920104.csv,MUET020101.csv,0.8319
OVEJ920104.csv,LUTR910105.csv,0.8274
OVEJ920104.csv,OVEJ920105.csv,0.8303
OVEJ920104.csv,LUTR910104.csv,0.8273
OVEJ920104.csv,BENS940104.csv,0.8297
OVEJ920104.csv,HENS920103.csv,0.8309
OVEJ920104.csv,BENS940101.csv,0.8295
OVEJ920104.csv,RUSR970102.csv,0.8293
OVEJ920104.csv,JOND940101.csv,0.8286
OVEJ920104.csv,FITW660101.csv,0.8321
OVEJ920104.csv,PRLA000102.csv,0.8305
OVEJ920104.csv,CROG050101.csv,0.8308
OVEJ920104.csv,MCLA720101.csv,0.8292
OVEJ920104.csv,DOSZ010102.csv,0.8295
OVEJ920104.csv,NGPC000101.csv,0.8290
OVEJ920104.csv,DOSZ010101.csv,0.8279
OVEJ920104.csv,QU_C930102.csv,0.8303
OVEJ920104.csv,GRAR740104.csv,0.8298
