Test Virus,Reference Virus,Distance
A/Almaty/2958/2013,A/Ankara/1110/2013,0.0
A/Almaty/2958/2013,A/Ankara/1324/2013,0.0
A/Almaty/2958/2013,A/Ankara/1356/2013,0.0
A/Almaty/2958/2013,A/Ankara/1366/2013,0.0
A/Almaty/2958/2013,A/Ankara/1373/2013,0.0
A/Almaty/2958/2013,A/Ankara/1396/2013,0.0
A/Almaty/2958/2013,A/Ankara/1404/2013,0.0
A/Almaty/2958/2013,A/Ankara/1410/2013,0.0
A/Almaty/2958/2013,A/Ankara/221/2014,0.0
A/Almaty/2958/2013,A/Ankara/23/2014,0.0
A/Almaty/2958/2013,A/Ankara/266/2014,0.0
A/Almaty/2958/2013,A/Ankara/34/2014,0.0
A/Almaty/2958/2013,A/Ankara/3653/2013,0.0
A/Almaty/2958/2013,A/Ankara/3727/2013,0.0
A/Almaty/2958/2013,A/Ankara/3804/2013,0.0
A/Almaty/2958/2013,A/Ankara/3805/2013,0.0
A/Almaty/2958/2013,A/Ankara/3851/2013,0.0
A/Almaty/2958/2013,A/Ankara/3879/2013,0.0
A/Almaty/2958/2013,A/Ankara/3937/2013,0.0
A/Almaty/2958/2013,A/Ankara/4084/2013,0.0
A/Almaty/2958/2013,A/Ankara/4142/2013,0.0
A/Almaty/2958/2013,A/Ankara/4187/2013,0.0
A/Almaty/2958/2013,A/Ankara/4227/2013,0.0
A/Almaty/2958/2013,A/Ankara/4236/2013,0.0
A/Almaty/2958/2013,A/Ankara/4247/2013,0.0
A/Almaty/2958/2013,A/Ankara/5/2014,0.0
A/Anhui/1238/2005,A/Annecy/1138/2005,0.1926450779423945
A/Annecy/1138/2005,A/Annecy/1138/2005,0.0
A/Alabama/5/2010,A/Annecy/2806/2012,0.0
A/Alabama/5/2010,A/Annecy/2809/2013,0.0
A/Almaty/2958/2013,A/Antalya/1083/2013,0.0
A/Alabama/5/2010,A/Antalya/204/2011,0.0
A/Alabama/5/2010,A/Antalya/214/2011,0.0
A/Almaty/2958/2013,A/Antalya/251/2013,0.0
A/Albania/289813/2022,A/Antananarivo/02681/2023,0.0
A/Albania/289813/2022,A/Antananarivo/02702/2023,0.0
A/Albania/289813/2022,A/Antananarivo/02757/2023,0.0
A/Albania/289813/2022,A/Antananarivo/02860/2023,0.0
A/Albania/289813/2022,A/Antananarivo/02915/2023,0.0
A/Albania/289813/2022,A/Antananarivo/02981/2023,0.0
A/Albania/289813/2022,A/Antananarivo/03253/2023,0.0
A/Albania/289813/2022,A/Antananarivo/03308/2023,0.0
A/Albania/289813/2022,A/Antananarivo/03320/2023,0.0
A/Albania/289813/2022,A/Antananarivo/03371/2023,0.0
